quiz_score,learning_progress,quiz_attempts,performance
69,56,13,Intermediate
91,99,17,Advanced
27,11,19,Beginner
26,78,18,Beginner
84,33,3,Beginner
35,17,18,Beginner
50,29,17,Beginner
31,48,10,Beginner
55,85,10,Intermediate
38,40,9,Beginner
43,56,20,Beginner
74,48,18,Intermediate
20,39,17,Beginner
32,31,18,Beginner
88,76,12,Advanced
34,12,6,Beginner
98,19,10,Beginner
100,37,2,Beginner
91,56,11,Intermediate
27,84,17,Beginner
90,43,4,Intermediate
31,65,7,Beginner
54,51,9,Intermediate
27,19,15,Beginner
32,74,3,Beginner
29,86,15,Beginner
68,92,16,Intermediate
57,100,11,Intermediate
76,96,11,Advanced
50,75,19,Intermediate
41,85,18,Beginner
38,95,2,Beginner
54,98,19,Intermediate
64,60,15,Intermediate
80,86,8,Advanced
37,57,13,Beginner
75,59,3,Intermediate
37,81,18,Beginner
41,16,5,Beginner
29,32,8,Beginner
92,40,3,Intermediate
100,67,9,Intermediate
92,31,10,Beginner
38,72,3,Beginner
54,31,7,Beginner
65,56,19,Intermediate
63,70,1,Intermediate
59,61,1,Intermediate
57,45,7,Intermediate
27,66,19,Beginner
26,54,4,Beginner
21,78,7,Beginner
58,14,13,Beginner
62,92,19,Intermediate
65,39,3,Beginner
54,89,15,Intermediate
69,34,18,Beginner
91,60,1,Intermediate
48,69,5,Beginner
56,32,11,Beginner
50,98,3,Intermediate
73,24,19,Beginner
87,19,18,Beginner
30,18,11,Beginner
44,23,6,Beginner
31,63,9,Beginner
99,16,19,Beginner
26,74,5,Beginner
41,20,16,Beginner
72,90,17,Intermediate
62,77,9,Intermediate
83,27,7,Beginner
47,80,15,Beginner
80,47,14,Intermediate
37,27,20,Beginner
31,61,14,Beginner
39,19,15,Beginner
71,65,3,Intermediate
91,12,17,Beginner
52,78,11,Intermediate
54,34,12,Beginner
50,95,7,Intermediate
78,51,4,Intermediate
54,35,6,Beginner
91,81,8,Advanced
99,62,16,Intermediate
72,18,20,Beginner
89,27,15,Beginner
71,17,11,Beginner
24,74,8,Beginner
61,77,12,Intermediate
80,62,3,Intermediate
26,97,8,Beginner
45,24,4,Beginner
68,77,14,Intermediate
70,50,4,Intermediate
32,60,2,Beginner
67,75,10,Intermediate
22,90,11,Beginner
33,34,19,Beginner
81,75,5,Advanced
92,45,16,Intermediate
55,61,8,Intermediate
30,40,3,Beginner
26,26,6,Beginner
23,81,7,Beginner
23,78,3,Beginner
82,28,10,Beginner
81,37,14,Beginner
42,70,2,Beginner
26,59,4,Beginner
39,98,13,Beginner
71,57,11,Intermediate
70,60,19,Intermediate
80,36,9,Beginner
95,23,20,Beginner
21,72,6,Beginner
47,33,4,Beginner
94,42,15,Intermediate
24,44,20,Beginner
88,98,10,Advanced
60,44,15,Intermediate
85,29,11,Beginner
25,14,10,Beginner
38,46,19,Beginner
84,19,3,Beginner
47,49,3,Beginner
23,65,4,Beginner
76,39,19,Beginner
77,74,15,Advanced
68,63,8,Intermediate
56,43,6,Intermediate
36,51,1,Beginner
47,69,13,Beginner
53,67,12,Intermediate
93,31,14,Beginner
67,97,20,Intermediate
74,45,11,Intermediate
51,16,19,Beginner
94,55,7,Intermediate
90,33,8,Beginner
25,63,8,Beginner
86,69,12,Intermediate
97,100,9,Advanced
67,98,9,Intermediate
66,81,1,Intermediate
43,97,1,Beginner
71,99,10,Intermediate
62,39,11,Beginner
21,25,10,Beginner
59,10,11,Beginner
91,46,19,Intermediate
79,76,13,Advanced
87,16,4,Beginner
34,65,18,Beginner
25,80,9,Beginner
65,94,11,Intermediate
97,20,20,Beginner
84,29,14,Beginner
86,72,5,Advanced
58,18,14,Beginner
57,21,8,Beginner
48,35,19,Beginner
70,77,15,Intermediate
63,31,10,Beginner
76,16,15,Beginner
40,22,4,Beginner
37,60,20,Beginner
46,22,9,Beginner
78,23,6,Beginner
100,74,6,Advanced
99,41,1,Intermediate
77,69,1,Intermediate
27,76,8,Beginner
52,63,13,Intermediate
54,52,20,Intermediate
36,90,2,Beginner
44,54,7,Beginner
75,29,5,Beginner
60,28,6,Beginner
44,34,20,Beginner
38,88,11,Beginner
60,42,12,Intermediate
68,89,10,Intermediate
42,20,19,Beginner
24,88,8,Beginner
89,37,10,Beginner
75,77,1,Advanced
37,99,16,Beginner
84,39,12,Beginner
22,80,5,Beginner
40,67,11,Beginner
63,54,19,Intermediate
63,89,17,Intermediate
74,45,7,Intermediate
95,60,18,Intermediate
98,99,1,Advanced
53,92,4,Intermediate
95,92,18,Advanced
75,22,20,Beginner
45,62,2,Beginner
41,91,18,Beginner
86,41,18,Intermediate
71,30,8,Beginner
46,81,14,Beginner
35,88,17,Beginner
59,72,3,Intermediate
82,81,7,Advanced
72,46,9,Intermediate
72,21,4,Beginner
94,37,7,Beginner
72,26,14,Beginner
68,68,3,Intermediate
83,28,8,Beginner
57,36,14,Beginner
90,33,3,Beginner
66,14,13,Beginner
72,64,17,Intermediate
55,20,11,Beginner
24,18,16,Beginner
23,64,10,Beginner
36,97,18,Beginner
20,49,4,Beginner
58,82,10,Intermediate
93,47,17,Intermediate
